,ip,num_pkts,mean,median,distinct_values,delta
164,203.238.185.168,8,108.0,108.0,[108],0
165,204.152.240.20,198,115.0,115.0,[115],0
166,207.106.34.100,137,109.0,109.0,[109],0
167,207.140.98.21,8,111.0,111.0,[111],0
168,210.13.199.205,15,101.26666666666667,101.0,[101 102],1
169,210.163.187.189,133,109.0,109.0,[109],0
170,210.177.135.238,5,115.0,115.0,[115],0
171,210.202.92.177,65,110.83076923076923,111.0,[111 110],1
172,210.207.121.155,86,109.0,109.0,[109],0
173,210.211.101.17,37,112.0,112.0,[112],0
174,210.22.151.196,75,47.0,47.0,[47],0
175,210.242.156.194,8,112.0,112.0,[112],0
176,210.245.0.10,428,107.78504672897196,108.0,[108 107],1
177,210.245.87.199,8,108.0,108.0,[108],0
178,210.28.101.74,8,34.0,34.0,[34],0
179,210.73.214.145,8,107.0,107.0,[107],0
180,210.89.56.113,2,107.0,107.0,[107],0
181,210.98.180.250,83,107.67469879518072,108.0,[107 108],1
182,211.103.238.190,11,99.0,99.0,[99],0
183,211.119.73.75,59,109.54237288135593,110.0,[109 110],1
184,211.155.27.238,56,108.0,108.0,[108],0
185,211.168.41.232,25,109.0,109.0,[109],0
186,211.168.41.233,37,109.0,109.0,[109],0
187,211.53.135.150,125,107.704,108.0,[108 107],1
188,211.84.216.8,13,103.3076923076923,103.0,[103 104],1
189,211.87.160.206,7,109.28571428571429,109.0,[109 111],2
190,212.108.197.153,188,110.0,110.0,[110],0
191,212.113.49.53,123,113.0,113.0,[113],0
192,212.14.238.196,169,111.0,111.0,[111],0
193,212.157.203.154,17,111.0,111.0,[111],0
194,212.175.136.22,220,107.21818181818182,106.0,[110 106],4
195,212.192.64.127,181,110.0,110.0,[110],0
196,212.72.136.23,220,114.0,114.0,[114],0
197,212.75.219.206,118,110.0,110.0,[110],0
198,213.176.143.42,229,112.0,112.0,[112],0
199,216.4.190.206,8,113.0,113.0,[113],0
200,217.16.68.189,380,108.0,108.0,[108],0
201,217.70.136.72,8,113.0,113.0,[113],0
202,218.206.25.163,4,103.0,103.0,[103],0
203,218.22.168.173,156,45.81410256410256,46.0,[46 45],1
204,218.241.185.138,7,39.0,39.0,[39],0
205,218.244.138.134,22,108.0,108.0,[108],0
206,218.244.151.76,7,108.0,108.0,[108],0
207,218.25.248.170,141,45.0,45.0,[45],0
208,218.29.222.108,8,47.0,47.0,[47],0
209,218.3.29.107,8,108.25,108.0,[109 108],1
210,218.56.146.39,182,109.0,109.0,[109],0
211,218.59.235.205,208,43.0,43.0,[43],0
212,218.61.32.10,214,111.0,111.0,[111],0
213,218.61.5.15,8,111.0,111.0,[111],0
214,218.63.172.39,37,45.0,45.0,[45],0
215,218.76.142.238,27,109.0,109.0,[109],0
216,218.77.188.226,8,108.75,109.0,[109 108],1
